timestamp,action,ticker,shares,price,value,fee
2026-06-15T23:00:36.838889,BUY,Gold,0.530716,4333.77,2300.0,1.15
2026-06-19T17:50:25.786273,SELL,Gold,0.530716,4170.81,2213.52,1.11
2026-06-19T17:51:30.659534,BUY,SPX,0.348754,7504.33,2617.17,1.31
2026-06-19T17:51:31.090872,BUY,BTC,0.010361,63151.56,654.29,0.33
2026-06-19T17:51:31.581158,BUY,NVDA,19.846286,210.8,4183.5,2.09
2026-06-19T17:51:32.302668,BUY,TSLA,1.311278,400.69,525.42,0.26
2026-06-19T17:51:32.728085,BUY,SPCE,542.744388,3.56,1933.14,0.97
2026-06-19T18:00:46.522300,SELL,SPX,0.348754,7494.11,2613.6,1.31
2026-06-19T18:00:47.004119,SELL,BTC,0.010361,63112.05,653.88,0.33
2026-06-19T18:00:47.581431,SELL,NVDA,19.846286,210.12,4170.2,2.09
2026-06-19T18:00:48.414206,SELL,TSLA,1.311278,400.23,524.81,0.26
2026-06-19T18:00:48.888901,SELL,SPCE,542.744388,3.56,1931.2,0.97
2026-06-19T21:02:13.911493,BUY,SPX,0.334995,7501.61,2513.0,1.26
2026-06-19T21:02:15.205678,BUY,BTC,0.010016,63220.34,633.2,0.32
2026-06-19T21:02:15.725855,BUY,NVDA,4.139327,210.34,870.65,0.44
2026-06-19T21:02:16.220054,BUY,TSLA,1.259463,400.63,504.58,0.25
2026-06-19T21:02:16.840599,BUY,SPCE,1233.317081,3.56,4392.8,2.2
2026-06-20T07:08:15.936405,SELL,BTC,0.010016,63486.77,635.87,0.32
2026-06-20T07:08:16.379737,SELL,NVDA,4.139327,210.58,871.68,0.44
2026-06-20T07:08:16.813442,SELL,TSLA,1.259463,400.29,504.15,0.25
2026-06-20T07:08:17.267272,SELL,SPCE,1233.317081,3.56,4388.41,2.19
2026-06-20T07:08:17.746616,BUY,SPX,0.060762,7504.33,455.98,0.23
2026-06-20T01:18:57.290205,SELL,SPX,0.395757,7494.11,2965.84,1.48
2026-06-20T01:21:36.121736,BUY,SPX,0.241163,7504.33,1809.77,0.9
2026-06-20T01:25:19.292525,SELL,SPX,0.241163,7494.11,1807.31,0.9
2026-06-20T01:27:51.151962,BUY,SPX,0.230647,7501.61,1730.22,0.87
2026-06-20T01:27:51.689440,BUY,BTC,0.00686,63414.18,435.03,0.22
2026-06-20T01:27:52.349368,BUY,NVDA,2.867359,210.34,603.11,0.3
2026-06-20T01:27:52.825583,BUY,TSLA,0.863751,400.63,346.04,0.17
2026-06-20T03:00:38.153248,SELL,SPX,0.230647,7494.11,1728.49,0.86
2026-06-20T03:00:38.641948,SELL,BTC,0.00686,63247.99,433.89,0.22
2026-06-20T03:00:39.256085,SELL,NVDA,2.867359,210.12,602.5,0.3
2026-06-20T03:00:39.737735,SELL,TSLA,0.863751,400.23,345.7,0.17
2026-06-20T20:00:30.090247,BUY,Short,63.812598,33.3,2124.88,1.2
2026-06-20T20:00:30.547088,BUY,Gold,0.203833,4169.85,849.95,0.48
2026-06-20T22:08:32.792115,SELL,Short,63.812598,33.26,2122.49,1.2
2026-06-20T22:08:33.252757,SELL,Gold,0.203833,4165.15,848.99,0.48
2026-06-22T00:00:33.426742,BUY,Short,38.274562,33.3,1274.5,0.72
2026-06-22T00:00:33.910396,BUY,Gold,0.123597,4156.64,513.75,0.29
